1;Esta es una nueva tarea;todo;2024-08-30 14:20:42.050196;2024-08-30 14:20:42.050198
2;Esta es una nueva tarea;todo;2024-08-30 14:20:55.919929;2024-08-30 14:20:55.919932
3;Esta es una nueva tarea;todo;2024-08-30 14:20:57.242213;2024-08-30 14:20:57.242217
4;La siguiente tarea;todo;2024-08-30 14:21:19.896516;2024-08-30 14:21:19.896520
5;Una tarea mas;todo;2024-08-30 14:21:26.174131;2024-08-30 14:21:26.174136
6;Otra tarea test;todo;2024-08-30 14:23:30.462285;2024-08-30 14:23:30.462302
7;Otra tarea despues de la refactorizacion;todo;2024-08-31 17:53:00.435133;2024-08-31 17:53:00.435137
8;Mas tareas;todo;2024-08-31 17:55:01.225991;2024-08-31 17:55:01.225996
9;Descripcion desde el test;todo;2024-08-31 18:04:00.894772;2024-08-31 18:04:00.894779
10;Una nueva entrada para testear con unittest;todo;2024-08-31 18:05:03.090092;2024-08-31 18:05:03.090097
11;Una nueva entrada para testear con unittest;todo;2024-08-31 18:07:03.117021;2024-08-31 18:07:03.117028
12;Una nueva entrada para testear con unittest;todo;2024-08-31 18:07:16.713540;2024-08-31 18:07:16.713543
13;Una nueva entrada para testear con unittest;todo;2024-08-31 18:07:39.449728;2024-08-31 18:07:39.449738
